,0,1,2,3,4
145,000190,ZYXHBLHPZHHA,中银新回报灵活配置混合A,混合型-灵活,ZHONGYINXINHUIBAOLINGHUOPEIZHIHUNHEA
146,000191,FGXYZZQAB,富国信用债债券A/B,债券型-长债,FUGUOXINYONGZHAIZHAIQUANAB
147,000192,FGXYZZQC,富国信用债债券C,债券型-长债,FUGUOXINYONGZHAIZHAIQUANC
148,000194,YHXYSJHZQA,银华信用四季红债券A,债券型-长债,YINHUAXINYONGSIJIHONGZHAIQUANA
149,000195,GYCZSYHHA,工银成长收益混合A,混合型-灵活,GONGYINCHENGZHANGSHOUYIHUNHEA
150,000196,GYCZSYHHB,工银成长收益混合B,混合型-灵活,GONGYINCHENGZHANGSHOUYIHUNHEB
151,000197,FGMBSYYNQCZZQ,富国目标收益一年期纯债债券,债券型-长债,FUGUOMUBIAOSHOUYIYINIANQICHUNZHAIZHAIQUAN
152,000198,THYEBHB,天弘余额宝货币,货币型,TIANHONGYUEBAOHUOBI
153,000199,GTLHCLSYHHA,国泰量化策略收益混合A,混合型-偏股,GUOTAILIANGHUACELUESHOUYIHUNHEA
154,000200,BSSSZLYNDKZ,博时岁岁增利一年定开债,债券型-长债,BOSHISUISUIZENGLIYINIANDINGKAIZHAI
155,000201,NATXYNDKZA,诺安泰鑫一年定开债A,债券型-长债,NUOANTAIXINYINIANDINGKAIZHAIA
156,000203,GFRRSYHBA,国富日日收益货币A,货币型,GUOFURIRISHOUYIHUOBIA
157,000204,GFRRSYHBB,国富日日收益货币B,货币型,GUOFURIRISHOUYIHUOBIB
158,000205,YFDTZJXYZZQA,易方达投资级信用债债券A,债券型-长债,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANA
159,000206,YFDTZJXYZZQC,易方达投资级信用债债券C,债券型-长债,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANC
160,000207,JXSZZQZQA,建信双债增强债券A,债券型-混合债,JIANXINSHUANGZHAIZENGQIANGZHAIQUANA
161,000208,JXSZZQZQC,建信双债增强债券C,债券型-混合债,JIANXINSHUANGZHAIZENGQIANGZHAIQUANC
162,000209,XCXXCYHHA,信诚新兴产业混合A,混合型-偏股,XINCHENGXINXINGCHANYEHUNHEA
163,000210,GDXJBHBA,光大现金宝货币A,货币型,GUANGDAXIANJINBAOHUOBIA
164,000211,GDXJBHBB,光大现金宝货币B,货币型,GUANGDAXIANJINBAOHUOBIB
165,000212,TXXYDQKFA,泰信鑫益定期开放A,债券型-长债,TAIXINXINYIDINGQIKAIFANGA
166,000213,TXXYDQKFC,泰信鑫益定期开放C,债券型-长债,TAIXINXINYIDINGQIKAIFANGC
167,000214,GFCZYXHH,广发成长优选混合,混合型-灵活,GUANGFACHENGZHANGYOUXUANHUNHE
168,000215,GFQSYXLHPZHHA,广发趋势优选灵活配置混合A,混合型-灵活,GUANGFAQUSHIYOUXUANLINGHUOPEIZHIHUNHEA
169,000216,HAHJYETFLJA,华安黄金易ETF联接A,商品（不含QDII）,HUAANHUANGJINYIETFLIANJIEA
170,000217,HAHJYETFLJC,华安黄金易ETF联接C,商品（不含QDII）,HUAANHUANGJINYIETFLIANJIEC
171,000218,GTHJETFLJA,国泰黄金ETF联接A,商品（不含QDII）,GUOTAIHUANGJINETFLIANJIEA
172,000219,BSYYHH,博时裕益混合,混合型-灵活,BOSHIYUYIHUNHE
173,000220,FGYLBJHYHHA,富国医疗保健行业混合A,混合型-偏股,FUGUOYILIAOBAOJIANHANGYEHUNHEA
174,000221,HTFNNLDKZA,汇添富年年利定开债A,债券型-长债,HUITIANFUNIANNIANLIDINGKAIZHAIA
175,000222,HTFNNLDKZC,汇添富年年利定开债C,债券型-长债,HUITIANFUNIANNIANLIDINGKAIZHAIC
176,000227,HANNHZQA,华安年年红债券A,债券型-长债,HUAANNIANNIANHONGZHAIQUANA
177,000235,NAWGSYYNDKZ,诺安稳固收益一年定开债,债券型-长债,NUOANWENGUSHOUYIYINIANDINGKAIZHAI
178,000236,GYYYXDQZFZQA,工银月月薪定期支付债券A,债券型-混合债,GONGYINYUEYUEXINDINGQIZHIFUZHAIQUANA
179,000239,HANNYDKZA,华安年年盈定开债A,债券型-长债,HUAANNIANNIANYINGDINGKAIZHAIA
180,000240,HANNYDKZC,华安年年盈定开债C,债券型-长债,HUAANNIANNIANYINGDINGKAIZHAIC
181,000241,BYHXYSHHC,宝盈核心优势混合C,混合型-灵活,BAOYINGHEXINYOUSHIHUNHEC
182,000242,JSCCCLJXLHPZHH,景顺长城策略精选灵活配置混合,混合型-灵活,JINGSHUNCHANGCHENGCELUEJINGXUANLINGHUOPEIZHIHUNHE
183,000244,THWLDQKFA,天弘稳利定期开放A,债券型-长债,TIANHONGWENLIDINGQIKAIFANGA
184,000245,THWLDQKFB,天弘稳利定期开放B,债券型-长债,TIANHONGWENLIDINGQIKAIFANGB
185,000246,BSYYXDQZFZQ,博时月月薪定期支付债券,债券型-长债,BOSHIYUEYUEXINDINGQIZHIFUZHAIQUAN
186,000248,HTFZZZYXFETFLJA,汇添富中证主要消费ETF联接A,指数型-股票,HUITIANFUZHONGZHENGZHUYAOXIAOFEIETFLIANJIEA
187,000251,GYJRDCHHA,工银金融地产混合A,混合型-偏股,GONGYINJINRONGDICHANHUNHEA
